Speed,Torque,Inj Pressure,Inj Duration,SOI,Inj Mass,Final Torque,AreaFault
1100,200,8930304.291,1.2,364.3233596,5.857793468,199.7289152,0.6
1100,250,11567994.15,1.2,360.8102172,7.072850001,249.7406808,0.6
1100,300,13219860.38,1.2,364.0673882,8.19153313,299.7193097,0.6
1100,350,14471409.06,1.2,364.7476487,9.423636137,349.9011226,0.6
1100,400,15730070.84,1.2,363.5771212,10.70433557,399.7117033,0.6
1100,450,16821425.13,1.2,364.4685345,12.07279027,449.7271068,0.6
1100,500,17955287.06,1.2,363.0663911,13.69353381,499.7622951,0.6
1200,100,5526375.037,1.2,362.4357383,4.112483913,99.73597161,0.6
1200,150,6992938.017,1.2,361.5614372,5.352289845,149.7739749,0.6
1200,200,9567522.772,1.2,363.6032615,6.548923181,199.7531329,0.6
1200,250,12055449.98,1.2,359.0685247,7.890510741,249.8801559,0.6
1200,300,13709772.06,1.2,356.9362619,9.332454794,299.8462406,0.6
1200,350,14587084.8,1.2,363.2225621,10.38140179,349.8034066,0.6
1200,400,15708256.76,1.2,362.7293707,11.77651929,399.7260821,0.6
1200,450,16903822.35,1.2,361.5889126,13.33127624,449.8054788,0.6
1200,500,18110825.36,1.2,361.6749368,15.23902538,499.7841731,0.6
1300,100,5693007.986,1.2,358.6564046,4.616992469,99.87268474,0.6
1300,150,7.22E+06,1.2,360.4850911,6.008727894,149.7394603,0.6
1300,200,9692164.232,1.2,361.9475623,7.309662877,199.7402589,0.6
1300,250,12050751.59,1.2,364.7792615,8.669130414,249.8254979,0.6
1300,300,13715443.06,1.2,357.8396156,10.16724768,299.7376513,0.6
1300,350,14782192.74,1.2,359.3293994,11.52513264,349.7410795,0.6
1300,400,15787188.82,1.2,361.9353385,12.98312856,399.8389167,0.6
1300,450,16898377.66,1.2,361.7259003,14.71675937,449.8477623,0.6
1300,500,18449845.54,1.2,364.2628298,17.28166702,500.038276,0.6
1400,100,6.14E+06,1.2,355.6551455,5.383127009,99.7391957,0.6
1400,150,8.04E+06,1.2,357.3393624,6.786947661,149.8385638,0.6
1400,200,10267106.19,1.2,361.7343259,8.138963532,199.7730828,0.6
1400,250,12231772.78,1.2,361.820138,9.573635283,249.7310865,0.6
1400,300,13651657.01,1.2,361.1926215,11.05283931,299.8738791,0.6
1400,350,14834177.31,1.2,360.8214707,12.59587614,349.7838491,0.6
1400,400,15927053.01,1.2,361.816872,14.27709269,399.8759083,0.6
1400,450,17043063.82,1.2,360.7852583,16.19764724,449.7269047,0.6
1400,500,18459856.65,1.2,359.6896101,18.92569849,499.768787,0.6
1500,100,5913397.429,1.2,359.0091232,5.95743182,99.87180866,0.6
1500,150,8100706.337,1.2,360.5945507,7.497498468,149.7514271,0.6
1500,200,10797322.65,1.2,361.0362408,9.024483777,199.7384508,0.6
1500,250,12527616.72,1.2,361.6466881,10.55104627,249.7308057,0.6
1500,300,13835373.73,1.2,360.9658283,12.11519838,299.7203742,0.6
1500,350,14980497.92,1.2,360.5068968,13.78808643,350.097646,0.6
1500,400,16052394.32,1.2,360.0973498,15.59740093,399.7328353,0.6
1500,450,17198348.78,1.2,359.6617228,17.77172973,449.734651,0.6
1500,500,18803804.3,1.2,358.4160938,21.18040395,499.7449396,0.6
1600,100,6168196.874,1.2,358.6251312,6.651768299,99.7230148,0.6
1600,150,8709758.4,1.2,359.9047711,8.321840627,149.8347061,0.6
1600,200,11127882.11,1.2,360.8788479,9.932668622,199.7281888,0.6
1600,250,12699425.62,1.2,362.1804213,11.54870174,249.7629957,0.6
1600,300,13963101.11,1.2,360.2699926,13.20070297,299.720353,0.6
1600,350,15292691.84,1.2,355.3687524,15.20449664,349.7809373,0.6
1600,400,16161893.45,1.2,359.1757342,16.97589054,399.8251931,0.6
1600,450,17377575.35,1.2,356.5384167,19.5851543,449.8375897,0.6
1600,500,19242407.56,1.2,356.7253097,23.8196817,499.7392323,0.6
1000,100,4964312.151,1.2,364.2712665,3.196961161,99.8648667,0.7
1000,150,5633281.552,1.2,365.3495662,4.180929554,149.7937776,0.7
1000,200,6720432.289,1.2,365.2622448,5.223013983,199.7895603,0.7
1000,250,8713474.787,1.2,365.5111617,6.296341793,249.7683431,0.7
1000,300,11167345.09,1.2,365.5205146,7.416098919,299.8250414,0.7
1000,350,12933407.55,1.2,365.7413281,8.565868773,349.7351339,0.7
1000,400,14264683.99,1.2,365.0501827,9.767854989,399.8106236,0.7
1000,450,15421190.24,1.2,365.4736924,11.01948997,449.7284925,0.7
1000,500,16517545.59,1.2,365.5172007,12.41260928,499.6674643,0.7
1100,100,5228249.328,1.2,359.1097436,3.701141184,99.75161741,0.7
1100,150,5817604.374,1.2,363.189412,4.756158383,149.725978,0.7
1100,200,7051447.41,1.2,362.5837963,5.871331088,199.7485662,0.7
1100,250,9284616.191,1.2,361.8091983,7.043350635,249.7606366,0.7
1100,300,11649075,1.2,360.3985114,8.290805411,299.8400459,0.7
1100,350,13408949.65,1.2,358.6785334,9.649653645,349.773525,0.7
1100,400,14334524.61,1.2,364.6551513,10.70226615,399.7818693,0.7
1100,450,15423167.46,1.2,363.7085111,12.06981628,449.7587026,0.7
1100,500,16563411.42,1.2,362.6553608,13.71018421,499.9874773,0.7
1200,100,5.14E+06,1.2,361.9531398,4.116964647,99.86455476,0.7
1200,150,6031948.842,1.2,363.8882092,5.341417103,149.7513757,0.7
1200,200,7636434.273,1.2,359.6647232,6.609516212,199.7208123,0.7
1200,250,9932631.952,1.2,364.9509781,7.794775229,249.7983752,0.7
1200,300,11832596.07,1.2,364.1044006,9.05826538,299.7343976,0.7
1200,350,13143269.91,1.2,363.7382082,10.37888037,349.7249549,0.7
1200,400,14452514.2,1.2,363.9775939,11.78782169,399.9225562,0.7
1200,450,15465978.33,1.2,364.1184118,13.35128081,449.7398136,0.7
1200,500,16719725.29,1.2,362.3705456,15.23201084,499.7467302,0.7
1300,100,5309732.177,1.2,356.7181383,4.656096233,99.75520796,0.7
